scheme,seed,negatives,test_S1_fraction,n_train,n_test,model,encoding,test_view,auc_roc,auprc,f1,brier,prevalence,n,n_positive,threshold
scaffold,0,uniform,0.0,188392,78784,degree_only,none,S2,0.7692609979623745,0.736809594575295,0.7394418487759742,0.4962514025974235,0.5,71992,35996,0.0009253599778260127
scaffold,0,uniform,0.0,188392,78784,degree_only,none,S3,0.5,0.5,0.0,0.49999798243184,0.5,6792,3396,0.0009253599778260127
scaffold,0,uniform,0.0,188392,78784,logreg,concat,pooled,0.7362655835005034,0.7180959615508687,0.7115943062673854,0.21385916010260766,0.5,78784,39392,0.23013906687035507
scaffold,0,uniform,0.0,188392,78784,logreg,concat,S2,0.74635551461923,0.7278470683132938,0.7171756532582193,0.2089772770545474,0.5,71992,35996,0.23013906687035507
scaffold,0,uniform,0.0,188392,78784,logreg,concat,S3,0.6270777232551009,0.6139901311737687,0.6513695338779433,0.2656048203493615,0.5,6792,3396,0.23013906687035507
scaffold,0,uniform,0.0,188392,78784,random_forest,concat,pooled,0.7867648678268743,0.7707611377473946,0.7388515872589568,0.19738838666826294,0.5,78784,39392,0.42017173353904314
scaffold,0,uniform,0.0,188392,78784,random_forest,concat,S2,0.7934457003600096,0.7769463961219643,0.7427300959909655,0.19523018166853529,0.5,71992,35996,0.42017173353904314
scaffold,0,uniform,0.0,188392,78784,random_forest,concat,S3,0.7068502176745037,0.6892853525091036,0.6980314473195494,0.2202643428432327,0.5,6792,3396,0.42017173353904314
scaffold,0,uniform,0.0,188392,78784,logreg,symmetric,pooled,0.7411966737396857,0.7224674535488913,0.7137579962158753,0.2132729113910737,0.5,78784,39392,0.19190326679125802
scaffold,0,uniform,0.0,188392,78784,logreg,symmetric,S2,0.7516351291597498,0.7328614641517747,0.7187794146619092,0.20807267532843676,0.5,71992,35996,0.19190326679125802
scaffold,0,uniform,0.0,188392,78784,logreg,symmetric,S3,0.6275800290232671,0.6103869432313032,0.659941348973607,0.26839296360269904,0.5,6792,3396,0.19190326679125802
scaffold,0,uniform,0.0,188392,78784,random_forest,symmetric,pooled,0.7908164630537089,0.7742099793600552,0.7385519737254984,0.19531358276045116,0.5,78784,39392,0.3870992629206123
scaffold,0,uniform,0.0,188392,78784,random_forest,symmetric,S2,0.7985494154744337,0.7812243287775108,0.7434056053785979,0.19270464629737505,0.5,71992,35996,0.3870992629206123
scaffold,0,uniform,0.0,188392,78784,random_forest,symmetric,S3,0.6971267468413612,0.6787815096281605,0.687477401470411,0.22296708008815633,0.5,6792,3396,0.3870992629206123
scaffold,0,degree_matched,0.0,188392,78784,degree_only,none,pooled,0.5486777798687492,0.5549109427808503,0.6666666666666666,0.4489626265865426,0.5,78784,39392,0.0007566488933379519
scaffold,0,degree_matched,0.0,188392,78784,degree_only,none,S2,0.5582933229508616,0.5600914506618305,0.6666666666666666,0.4442188971516078,0.5,71992,35996,0.0007566488933379519
scaffold,0,degree_matched,0.0,188392,78784,degree_only,none,S3,0.5,0.5,0.6666666666666666,0.4992439236242098,0.5,6792,3396,0.0007566488933379519
scaffold,0,degree_matched,0.0,188392,78784,logreg,concat,pooled,0.6236133528604116,0.6188584971866102,0.6686610027521838,0.23962161472764645,0.5,78784,39392,0.20861557444391565
scaffold,0,degree_matched,0.0,188392,78784,logreg,concat,S2,0.6219074451340119,0.6178424004371649,0.6682053917675093,0.23983368648480918,0.5,71992,35996,0.20861557444391565
scaffold,0,degree_matched,0.0,188392,78784,logreg,concat,S3,0.6478876451336777,0.6406617174920897,0.6735450265451267,0.23737375401774374,0.5,6792,3396,0.20861557444391565
scaffold,0,degree_matched,0.0,188392,78784,random_forest,concat,pooled,0.7096906877846475,0.6937105850971395,0.6961775805540973,0.2291234504656499,0.5,78784,39392,0.43141739866978973
scaffold,0,degree_matched,0.0,188392,78784,random_forest,concat,S2,0.7102560442721093,0.6947569091542762,0.6965420894746531,0.22861542288298317,0.5,71992,35996,0.43141739866978973
scaffold,0,degree_matched,0.0,188392,78784,random_forest,concat,S3,0.7103056183329379,0.6945340574236099,0.6922719888605244,0.23450830348852167,0.5,6792,3396,0.43141739866978973
scaffold,0,degree_matched,0.0,188392,78784,logreg,symmetric,pooled,0.6429277703103831,0.6336204258845204,0.6732254069200566,0.23536456500427963,0.5,78784,39392,0.24005434061413092
scaffold,0,degree_matched,0.0,188392,78784,logreg,symmetric,S2,0.6419898293202214,0.6329490593775793,0.6727223895486024,0.2355129980929024,0.5,71992,35996,0.24005434061413092
scaffold,0,degree_matched,0.0,188392,78784,logreg,symmetric,S3,0.6556197549670437,0.6468265143125346,0.6786943372614455,0.23379124419801775,0.5,6792,3396,0.24005434061413092
scaffold,0,degree_matched,0.0,188392,78784,random_forest,symmetric,pooled,0.7256675995980701,0.7137683804229673,0.7001286483878749,0.224199039195401,0.5,78784,39392,0.42302520977010916
scaffold,0,degree_matched,0.0,188392,78784,random_forest,symmetric,S2,0.7281916080494233,0.7162408836206084,0.7008477554247562,0.22339117792807897,0.5,71992,35996,0.42302520977010916
scaffold,0,degree_matched,0.0,188392,78784,random_forest,symmetric,S3,0.7021576950503676,0.6924792882355459,0.6923624288425048,0.23276198801122058,0.5,6792,3396,0.42302520977010916
